UV254(mJ cm-2),HOCl(mg/L),Fe3+ (mg/L),pH,NB (micromolar),MeOH(mM),ONP(mg/L),NO2-(mM),HCO3-(mM),Cl-(mM),SO42-(mM),Kobs (min-1)
717,0,0,3,0,0,10,0,0,0,0,0.006001
717,0,0,3,0,0,10,2,2,0,0,0.00596
717,0,0,3,0,0,10,0,0,0,0,0.00582
717,0,0,3,0,0,10,0,0,2,0,0.006011
717,0,0,3,0,0,10,0,0,0,2,0.00589
2008,0,0,3,0,0,10,0,0,0,0,0.00716
2008,0,0,3,0,0,10,2,0,0,0,0.00685
2008,0,0,3,0,0,10,0,2,0,0,0.00692
2008,0,0,3,0,0,10,0,0,2,0,0.00721
2008,0,0,3,0,0,10,0,0,0,2,0.00712
1434,0,0,3,0,0,10,0,0,0,0,0.00709
1434,0,0,3,0,0,10,0,0,2,0,0.008
1434,0,0,3,0,0,10,0,2,0,0,0.005023
1434,0,0,3,0,0,10,0,2,0,2,0.004236
1434,0,0,3,0,0,10,2,0,0,0,0.00602
0,10,0,3,0,0,10,0,0,0,0,0.01107
0,10,0,3,0,0,10,0,2,0,0,0.01054
0,10,0,3,0,0,10,0,0,2,0,0.01454
0,10,0,3,0,0,10,0,0,0,2,0.001548
0,10,0,3,0,0,10,2,0,0,0,0.00754
0,10,4.48,3,0,0,10,0,0,0,0,0.03328
0,10,4.48,3,0,0,10,2,0,0,0,0.02856
0,10,4.48,3,0,0,10,0,2,0,0,0.02359
0,10,4.48,3,0,0,10,0,0,2,0,0.01745
0,10,4.48,3,0,0,10,0,0,0,2,0.03745
1434,0,4.48,3,0,0,10,0,0,0,0,0.036
1434,0,4.48,3,0,0,10,0,0,2,0,0.0401
1434,0,4.48,3,0,0,10,0,2,0,0,0.0332
1434,0,4.48,3,0,0,10,2,0,0,0,0.029
1434,0,4.48,3,0,0,10,0,0,0,2,0.035
717,0,4.48,3,0,0,10,0,0,0,0,0.0204
717,0,4.48,3,0,0,10,2,0,0,0,0.0201
717,0,4.48,3,0,0,10,0,2,0,0,0.0197
717,0,4.48,3,0,0,10,0,0,2,0,0.0198
717,0,4.48,3,0,0,10,0,0,0,2,0.01944
2008,0,4.48,3,0,0,10,0,0,0,0,0.0383
2008,0,4.48,3,0,0,10,2,0,0,0,0.0376
2008,0,4.48,3,0,0,10,0,2,0,0,0.03712
2008,0,4.48,3,0,0,10,0,0,0,2,0.03654
2008,0,4.48,3,0,0,10,0,0,2,0,0.03854
1434,10,0,3,0,0,10,0,0,0,0,0.0421
1434,10,4.48,3,0,0,10,0,0,0,0,0.09682
1434,10,0,3,16,0,10,0,0,0,0,0.03591
1434,10,0,3,32,0,10,0,0,0,0,0.03011
1434,10,0,3,48,0,10,0,0,0,0,0.0255
