UV254(mJ cm-2),NH2Cl(mg/L),Fe3+ (mg/L),pH,NB (micromolar),TBA(mM),ONP(mg/L),HCO3-(mM),Cl-(mM),NO2-(mM),NO3-(mM),Kobs (min-1)
1170,0,0,3,0,0,5,0,0,0,0,0.0083
1170,0,0,3,0,0,5,2,0,0,0,0.0065
1170,0,0,3,0,0,5,0,2,0,0,0.0089
1170,0,0,3,0,0,5,0,0,2,0,0.0077
1170,0,0,3,0,0,5,0,0,0,2,0.0086
0,10,0,3,0,0,5,0,0,0,0,0.0067
0,10,0,3,0,0,5,2,0,0,0,0.0059
0,10,0,3,0,0,5,0,2,0,0,0.0074
0,10,0,3,0,0,5,0,0,2,0,0.0061
0,10,0,3,0,0,5,0,0,0,2,0.0075
0,10,9.1,3,0,0,5,0,0,0,0,0.0081
0,10,9.1,3,0,0,5,2,0,0,0,0.0073
0,10,9.1,3,0,0,5,0,2,0,0,0.0089
0,10,9.1,3,0,0,5,0,0,2,0,0.0069
0,10,9.1,3,0,0,5,0,0,0,2,0.0091
1170,10,0,3,0,0,5,0,0,0,0,0.0391
1170,10,0,3,0,0,5,2,0,0,0,0.0386
1170,10,0,3,0,0,5,0,2,0,0,0.0397
1170,10,0,3,0,0,5,0,0,2,0,0.0381
1170,10,0,3,0,0,5,0,0,0,2,0.0399
1170,0,9.1,3,0,0,5,0,0,0,0,0.0513
1170,0,9.1,3,0,0,5,2,0,0,0,0.0501
1170,0,9.1,3,0,0,5,0,2,0,0,0.0505
1170,0,9.1,3,0,0,5,0,0,2,0,0.05
1170,0,9.1,3,0,0,5,0,0,0,2,0.0519
1170,10,9.1,3,0,0,5,0,0,0,0,0.177
1170,10,9.1,3,20,0,5,0,0,0,0,0.13424
1170,10,9.1,3,40,0,5,0,0,0,0,0.08741
1170,10,9.1,3,60,0,5,0,0,0,0,0.07793
1170,10,9.1,3,80,0,5,0,0,0,0,0.0595
1170,10,9.1,3,100,0,5,0,0,0,0,0.0551
1170,5,9.1,3,0,0,5,0,0,0,0,0.111
1170,5,9.1,3,0,0,5,2,0,0,0,0.102
1170,5,9.1,3,0,0,5,0,2,0,0,0.113
1170,5,9.1,3,0,0,5,0,0,2,0,0.109
1170,5,9.1,3,0,0,5,0,0,0,2,0.117
1170,15,9.1,3,0,0,5,0,0,0,0,0.147
1170,15,9.1,3,0,0,5,2,0,0,0,0.14165
1170,15,9.1,3,0,0,5,0,2,0,0,0.149
1170,15,9.1,3,0,0,5,0,0,2,0,0.142
1170,15,9.1,3,0,0,5,0,0,0,2,0.156
1170,20,9.1,3,0,0,5,0,0,0,0,0.137
1170,20,9.1,3,0,0,5,2,0,0,0,0.1332
1170,20,9.1,3,0,0,5,0,2,0,0,0.14658
1170,20,9.1,3,0,0,5,0,0,2,0,0.1295
1170,20,9.1,3,0,0,5,0,0,0,2,0.15145
1170,10,0,3,0,0,5,0,0,0,0,0.0391
1170,10,1.137,3,0,0,5,0,0,0,0,0.0405
1170,10,1.137,3,0,0,5,2,0,0,0,0.0401
1170,10,1.137,3,0,0,5,0,2,0,0,0.0408
1170,10,1.137,3,0,0,5,0,0,2,0,0.0399
1170,10,1.137,3,0,0,5,0,0,0,2,0.0413
1170,10,4.55,3,0,0,5,0,0,0,0,0.105
1170,10,4.55,3,0,0,5,2,0,0,0,0.095
1170,10,4.55,3,0,0,5,0,2,0,0,0.108
1170,10,4.55,3,0,0,5,0,0,2,0,0.099
1170,10,4.55,3,0,0,5,0,0,0,2,0.113
1170,10,9.1,3,0,0,5,0,0,0,0,0.177
1170,10,9.1,3,0,0,5,2,0,0,0,0.172
1170,10,9.1,3,0,0,5,0,2,0,0,0.179
1170,10,9.1,3,0,0,5,0,0,2,0,0.169
1170,10,9.1,3,0,0,5,0,0,0,2,0.181
1170,10,18.2,3,0,0,5,0,0,0,0,0.114
1170,10,18.2,3,0,0,5,2,0,0,0,0.1012
1170,10,18.2,3,0,0,5,0,2,0,0,0.1032
1170,10,18.2,3,0,0,5,0,0,2,0,0.0978
1170,10,18.2,3,0,0,5,0,0,0,2,0.0992
1170,10,9.1,3,0,0,10,0,0,0,0,0.0731
1170,10,9.1,3,0,0,10,2,0,0,0,0.0715
1170,10,9.1,3,0,0,10,0,2,0,0,0.0742
1170,10,9.1,3,0,0,10,0,0,2,0,0.0722
1170,10,9.1,3,0,0,10,0,0,0,2,0.0741
1170,10,9.1,3,0,0,15,0,0,0,0,0.0422
1170,10,9.1,3,0,0,15,2,0,0,0,0.0417
1170,10,9.1,3,0,0,15,0,2,0,0,0.0429
1170,10,9.1,3,0,0,15,0,0,2,0,0.0411
1170,10,9.1,3,0,0,15,0,0,0,2,0.0441
1170,10,9.1,5,0,0,5,0,0,0,0,0.061
1170,10,9.1,5,0,0,5,2,0,0,0,0.05123
1170,10,9.1,5,0,0,5,0,2,0,0,0.06425
1170,10,9.1,5,0,0,5,0,0,2,0,0.05541
1170,10,9.1,5,0,0,5,0,0,0,2,0.0695
1170,10,9.1,7,0,0,5,0,0,0,0,0.027
1170,10,9.1,7,0,0,5,2,0,0,0,0.016
1170,10,9.1,7,0,0,5,0,2,0,0,0.0351
1170,10,9.1,7,0,0,5,0,0,2,0,0.022
1170,10,9.1,7,0,0,5,0,0,0,2,0.0372
1170,10,9.1,9,0,0,5,0,0,0,0,0.016
1170,10,9.1,9,0,0,5,2,0,0,0,0.009
1170,10,9.1,9,0,0,5,0,2,0,0,0.019
1170,10,9.1,9,0,0,5,0,0,2,0,0.011
1170,10,9.1,9,0,0,5,0,0,0,2,0.024
1170,10,9.1,3,0,0,5,2,0,0,0,0.154
1170,10,9.1,3,0,0,5,5,0,0,0,0.149
1170,10,9.1,3,0,0,5,6,0,0,0,0.145
1170,10,9.1,3,0,0,5,8,0,0,0,0.1395
1170,10,9.1,3,0,0,5,10,0,0,0,0.1353
1170,10,9.1,3,0,0,5,12,0,0,0,0.1203
1170,10,9.1,3,0,0,5,14,0,0,0,0.1165
1170,10,9.1,3,0,0,5,16,0,0,0,0.1063
1170,10,9.1,3,0,0,5,18,0,0,0,0.09562
1170,10,9.1,3,0,0,5,24,0,0,0,0.08123
1170,10,9.1,3,0,0,5,0,1,0,0,0.1811
1170,10,9.1,3,0,0,5,0,3,0,0,0.1853
1170,10,9.1,3,0,0,5,0,6,0,0,0.1875
1170,10,9.1,3,0,0,5,0,9,0,0,0.1652
1170,10,9.1,3,0,0,5,0,11,0,0,0.1642
1170,10,9.1,3,0,0,5,0,15,0,0,0.15845
1170,10,9.1,3,0,0,5,0,0,0,0,0.177
1170,10,9.1,3,0,0,5,0,0,1,0,0.144
1170,10,9.1,3,0,0,5,0,0,3,0,0.131
1170,10,9.1,3,0,0,5,0,0,5,0,0.123
1170,10,9.1,3,0,0,5,0,0,8,0,0.1121
1170,10,9.1,3,0,0,5,0,0,10,0,0.0974
1170,10,9.1,3,0,0,5,0,0,13,0,0.09421
1170,10,9.1,3,0,0,5,0,0,0,0,0.177
1170,10,9.1,3,0,0,5,0,0,0,3,0.184
1170,10,9.1,3,0,0,5,0,0,0,6,0.1912
1170,10,9.1,3,0,0,5,0,0,0,9,0.1992
1170,10,9.1,3,0,0,5,0,0,0,12,0.2003
1170,10,9.1,3,0,0,5,0,0,0,15,0.2005
1170,10,9.1,3,0,0,5,0,0,0,18,0.20653
1170,10,9.1,3,0,0,5,0,0,0,21,0.20013
1170,10,9.1,3,0,0,5,0,0,0,24,0.19652
1170,10,9.1,3,0,0,5,0,0,0,0,0.177
1170,10,9.1,3,0,4,5,0,0,0,0,0.08
1170,10,9.1,3,0,8,5,0,0,0,0,0.026
1170,10,9.1,3,0,12,5,0,0,0,0,0.024
1170,10,9.1,3,0,16,5,0,0,0,0,0.025
1638,0,0,3,0,0,5,0,0,0,0,0.0087
1638,0,0,3,0,0,5,2,0,0,0,0.007
1638,0,0,3,0,0,5,0,2,0,0,0.0095
1638,0,0,3,0,0,5,0,0,2,0,0.0079
1638,0,9.1,3,0,0,5,0,0,0,0,0.0519
1638,0,9.1,3,0,0,5,2,0,0,0,0.0512
1638,0,9.1,3,0,0,5,0,2,0,0,0.0521
1638,0,9.1,3,0,0,5,0,0,2,0,0.0511
1638,0,9.1,3,0,0,5,0,0,0,2,0.0525
1638,10,0,3,0,0,5,0,0,0,0,0.0398
1638,10,0,3,0,0,5,2,0,0,0,0.039
1638,10,0,3,0,0,5,0,2,0,0,0.0412
